date,date_id,wind,desc,temp,baro,hum,year,month,day,day_date,start_hour,end_hour
"Friday, January 15, 2021, 12:00 am — 6:00 am",1610668800000.0,6.836,Passing clouds.,33.8,30.32,96,2021,1,Friday,15,00:00,06:00
"Friday, January 15, 2021, 6:00 am — 12:00 pm",1610690400000.0,4.971,Partly sunny.,37.4,30.43,94,2021,1,Friday,15,06:00,12:00
"Friday, January 15, 2021, 12:00 pm — 6:00 pm",1610712000000.0,1.864,Partly sunny.,41.0,30.43,85,2021,1,Friday,15,12:00,18:00
"Friday, January 15, 2021, 6:00 pm — 12:00 am",1610733600000.0,1.864,Passing clouds.,33.8,30.41,97,2021,1,Friday,15,18:00,00:00
"Saturday, January 16, 2021, 12:00 am — 6:00 am",1610755200000.0,8.7,Mostly cloudy.,37.4,30.28,84,2021,1,Saturday,16,00:00,06:00
"Saturday, January 16, 2021, 6:00 am — 12:00 pm",1610776800000.0,9.943,Drizzle. More clouds than sun.,42.8,30.05,98,2021,1,Saturday,16,06:00,12:00
"Saturday, January 16, 2021, 12:00 pm — 6:00 pm",1610798400000.0,6.2139999999999995,Partly sunny.,48.2,29.99,93,2021,1,Saturday,16,12:00,18:00
"Saturday, January 16, 2021, 6:00 pm — 12:00 am",1610820000000.0,7.457000000000001,Overcast.,44.6,30.05,86,2021,1,Saturday,16,18:00,00:00
"Sunday, January 17, 2021, 12:00 am — 6:00 am",1610841600000.0,9.321,Overcast.,42.8,30.09,82,2021,1,Sunday,17,00:00,06:00
"Sunday, January 17, 2021, 6:00 am — 12:00 pm",1610863200000.0,9.321,Scattered clouds.,44.6,30.21,80,2021,1,Sunday,17,06:00,12:00
"Sunday, January 17, 2021, 12:00 pm — 6:00 pm",1610884800000.0,9.321,Partly sunny.,46.4,30.27,72,2021,1,Sunday,17,12:00,18:00
"Sunday, January 17, 2021, 6:00 pm — 12:00 am",1610906400000.0,3.728,Overcast.,39.2,30.3,90,2021,1,Sunday,17,18:00,00:00
"Monday, January 18, 2021, 12:00 am — 6:00 am",1610928000000.0,5.593,Passing clouds.,37.4,30.25,95,2021,1,Monday,18,00:00,06:00
"Monday, January 18, 2021, 6:00 am — 12:00 pm",1610949600000.0,7.457000000000001,Partly sunny.,44.6,30.2,95,2021,1,Monday,18,06:00,12:00
"Monday, January 18, 2021, 12:00 pm — 6:00 pm",1610971200000.0,9.321,Partly sunny.,44.6,30.1,82,2021,1,Monday,18,12:00,18:00
"Monday, January 18, 2021, 6:00 pm — 12:00 am",1610992800000.0,11.807,Passing clouds.,48.2,29.96,92,2021,1,Monday,18,18:00,00:00
"Tuesday, January 19, 2021, 12:00 am — 6:00 am",1611014400000.0,15.535,Passing clouds.,51.8,29.72,95,2021,1,Tuesday,19,00:00,06:00
"Tuesday, January 19, 2021, 6:00 am — 12:00 pm",1611036000000.0,18.642,Partly sunny.,53.6,29.68,85,2021,1,Tuesday,19,06:00,12:00
"Tuesday, January 19, 2021, 12:00 pm — 6:00 pm",1611057600000.0,17.4,Drizzle. Mostly cloudy.,51.8,29.6,85,2021,1,Tuesday,19,12:00,18:00
"Tuesday, January 19, 2021, 6:00 pm — 12:00 am",1611079200000.0,18.021,Low clouds.,51.8,29.46,91,2021,1,Tuesday,19,18:00,00:00
"Wednesday, January 20, 2021, 12:00 am — 6:00 am",1611100800000.0,18.642,Passing clouds.,50.0,29.32,94,2021,1,Wednesday,20,00:00,06:00
"Wednesday, January 20, 2021, 6:00 am — 12:00 pm",1611122400000.0,18.021,Drizzle. Broken clouds.,51.8,29.22,93,2021,1,Wednesday,20,06:00,12:00
"Wednesday, January 20, 2021, 12:00 pm — 6:00 pm",1611144000000.0,17.4,Light rain. Partly sunny.,50.0,29.08,93,2021,1,Wednesday,20,12:00,18:00
"Wednesday, January 20, 2021, 6:00 pm — 12:00 am",1611165600000.0,18.642,Passing clouds.,50.0,28.85,90,2021,1,Wednesday,20,18:00,00:00
"Thursday, January 21, 2021, 12:00 am — 6:00 am",1611187200000.0,19.264,Passing clouds.,41.0,29.0,84,2021,1,Thursday,21,00:00,06:00
"Thursday, January 21, 2021, 6:00 am — 12:00 pm",1611208800000.0,17.4,Scattered clouds.,46.4,29.11,74,2021,1,Thursday,21,06:00,12:00
"Thursday, January 21, 2021, 12:00 pm — 6:00 pm",1611230400000.0,9.943,Partly sunny.,46.4,29.08,70,2021,1,Thursday,21,12:00,18:00
"Thursday, January 21, 2021, 6:00 pm — 12:00 am",1611252000000.0,7.457000000000001,Overcast.,44.6,29.09,81,2021,1,Thursday,21,18:00,00:00
"Friday, January 22, 2021, 12:00 am — 6:00 am",1611273600000.0,6.836,Clear.,35.6,29.2,93,2021,1,Friday,22,00:00,06:00
"Friday, January 22, 2021, 6:00 am — 12:00 pm",1611295200000.0,6.836,Sunny.,44.6,29.31,89,2021,1,Friday,22,06:00,12:00
"Friday, January 22, 2021, 12:00 pm — 6:00 pm",1611316800000.0,6.836,Scattered clouds.,46.4,29.33,75,2021,1,Friday,22,12:00,18:00
"Friday, January 22, 2021, 6:00 pm — 12:00 am",1611338400000.0,6.836,Sprinkles. Passing clouds.,39.2,29.33,93,2021,1,Friday,22,18:00,00:00
"Saturday, January 23, 2021, 12:00 am — 6:00 am",1611360000000.0,4.35,Low clouds.,37.4,29.35,94,2021,1,Saturday,23,00:00,06:00
"Saturday, January 23, 2021, 6:00 am — 12:00 pm",1611381600000.0,2.4859999999999998,Ice fog.,33.8,29.37,98,2021,1,Saturday,23,06:00,12:00
"Saturday, January 23, 2021, 12:00 pm — 6:00 pm",1611403200000.0,8.078,Scattered clouds.,39.2,29.4,85,2021,1,Saturday,23,12:00,18:00
"Saturday, January 23, 2021, 6:00 pm — 12:00 am",1611424800000.0,4.35,Clear.,33.8,29.46,92,2021,1,Saturday,23,18:00,00:00
"Sunday, January 24, 2021, 12:00 am — 6:00 am",1611446400000.0,2.4859999999999998,Passing clouds.,26.6,29.49,99,2021,1,Sunday,24,00:00,06:00
"Sunday, January 24, 2021, 6:00 am — 12:00 pm",1611468000000.0,6.836,Clear.,33.8,29.42,94,2021,1,Sunday,24,06:00,12:00
"Sunday, January 24, 2021, 12:00 pm — 6:00 pm",1611489600000.0,4.35,Partly sunny.,33.8,29.37,99,2021,1,Sunday,24,12:00,18:00
"Sunday, January 24, 2021, 6:00 pm — 12:00 am",1611511200000.0,7.457000000000001,Passing clouds.,33.8,29.45,93,2021,1,Sunday,24,18:00,00:00
"Monday, January 25, 2021, 12:00 am — 6:00 am",1611532800000.0,8.7,Clear.,33.8,29.63,91,2021,1,Monday,25,00:00,06:00
"Monday, January 25, 2021, 6:00 am — 12:00 pm",1611554400000.0,5.593,Sunny.,37.4,29.79,84,2021,1,Monday,25,06:00,12:00
"Monday, January 25, 2021, 12:00 pm — 6:00 pm",1611576000000.0,9.943,Sunny.,41.0,29.88,74,2021,1,Monday,25,12:00,18:00
"Monday, January 25, 2021, 6:00 pm — 12:00 am",1611597600000.0,5.593,Clear.,35.6,29.99,86,2021,1,Monday,25,18:00,00:00
"Tuesday, January 26, 2021, 12:00 am — 6:00 am",1611619200000.0,1.864,Passing clouds.,30.2,30.04,94,2021,1,Tuesday,26,00:00,06:00
"Tuesday, January 26, 2021, 6:00 am — 12:00 pm",1611640800000.0,2.4859999999999998,Overcast.,39.2,30.05,96,2021,1,Tuesday,26,06:00,12:00
"Tuesday, January 26, 2021, 12:00 pm — 6:00 pm",1611662400000.0,8.078,Overcast.,41.0,29.97,90,2021,1,Tuesday,26,12:00,18:00
"Tuesday, January 26, 2021, 6:00 pm — 12:00 am",1611684000000.0,8.7,Drizzle. Low clouds.,42.8,29.85,98,2021,1,Tuesday,26,18:00,00:00
"Wednesday, January 27, 2021, 12:00 am — 6:00 am",1611705600000.0,4.971,Mostly cloudy.,44.6,29.83,100,2021,1,Wednesday,27,00:00,06:00
"Wednesday, January 27, 2021, 6:00 am — 12:00 pm",1611727200000.0,7.457000000000001,Fog.,48.2,29.87,97,2021,1,Wednesday,27,06:00,12:00
"Wednesday, January 27, 2021, 12:00 pm — 6:00 pm",1611748800000.0,4.35,Overcast.,50.0,29.87,95,2021,1,Wednesday,27,12:00,18:00
